             VARIABLE : Surface temperature anomaly (K)
             DATA SET : GISTEMP Surface Temperature Analysis
             FILENAME : gistemp1200_GHCNv4_ERSSTv5.nc
             FILEPATH : /usr/local/fer_dsets/data/GISTEMP/
             BAD FLAG : -1.E+34       
             SUBSET   : 1455 points (TIME)
             LONGITUDE: 9W(-9)
             LATITUDE : 47N
         	9W   
JAN-1900	0.26
FEB-1900	-0.03
MAR-1900	-0.52
APR-1900	-0.18
MAY-1900	-0.57
JUN-1900	-0.16
JUL-1900	0.04
AUG-1900	-0.01
SEP-1900	0.16
OCT-1900	-0.15
NOV-1900	-0.07
DEC-1900	0.08
JAN-1901	-0.01
FEB-1901	-0.57
MAR-1901	-0.81
APR-1901	-0.2
MAY-1901	0.09
JUN-1901	0.37
JUL-1901	0.37
AUG-1901	0.04
SEP-1901	-0.5
OCT-1901	-0.75
NOV-1901	-0.6
DEC-1901	-0.81
JAN-1902	-0.56
FEB-1902	-0.76
MAR-1902	-0.36
APR-1902	-0.45
MAY-1902	-0.69
JUN-1902	-1.18
JUL-1902	-0.34
AUG-1902	-0.33
SEP-1902	-0.29
OCT-1902	-0.43
NOV-1902	-0.33
DEC-1902	-0.36
JAN-1903	-0.32
FEB-1903	-0.03
MAR-1903	-0.36
APR-1903	-0.46
MAY-1903	-0.87
JUN-1903	-0.77
JUL-1903	-0.43
AUG-1903	-1.03
SEP-1903	-1.11
OCT-1903	-0.96
NOV-1903	-0.49
DEC-1903	-1.09
JAN-1904	-0.73
FEB-1904	-0.84
MAR-1904	-1.03
APR-1904	-0.75
MAY-1904	-0.53
JUN-1904	-0.73
JUL-1904	-0.14
AUG-1904	-0.1
SEP-1904	-0.78
OCT-1904	-0.71
NOV-1904	-0.01
DEC-1904	-0.02
JAN-1905	-0.1
FEB-1905	-0.13
MAR-1905	-0.21
APR-1905	-0.04
MAY-1905	-0.22
JUN-1905	-0.31
JUL-1905	0.32
AUG-1905	-0.87
SEP-1905	-1.39
OCT-1905	-1.62
NOV-1905	-1.34
DEC-1905	-0.67
JAN-1906	-0.3
FEB-1906	-0.57
MAR-1906	-0.6
APR-1906	-0.69
MAY-1906	-0.94
JUN-1906	0.15
JUL-1906	-0.11
AUG-1906	0.23
SEP-1906	0.24
OCT-1906	0.13
NOV-1906	-0.23
DEC-1906	-0.36
JAN-1907	-0.56
FEB-1907	-0.73
MAR-1907	-0.31
APR-1907	-0.57
MAY-1907	-0.95
JUN-1907	-0.98
JUL-1907	-1.16
AUG-1907	-0.59
SEP-1907	0.12
OCT-1907	-0.82
NOV-1907	-0.6
DEC-1907	-0.43
JAN-1908	-0.5
FEB-1908	-0.26
MAR-1908	-0.64
APR-1908	-0.89
MAY-1908	-0.58
JUN-1908	-0.48
JUL-1908	-0.31
AUG-1908	-0.33
SEP-1908	-0.74
OCT-1908	0.39
NOV-1908	0.53
DEC-1908	0.33
JAN-1909	-0.12
FEB-1909	-0.39
MAR-1909	-0.78
APR-1909	-0.29
MAY-1909	-0.07
JUN-1909	-0.6
JUL-1909	-0.73
AUG-1909	-0.05
SEP-1909	-0.61
OCT-1909	-0.18
NOV-1909	-0.71
DEC-1909	-0.57
JAN-1910	-0.31
FEB-1910	-0.34
MAR-1910	-0.38
APR-1910	-0.5
MAY-1910	-0.74
